Unique ID,Survey Type,Start time,What are the biggest challenges facing households in your community today?,Do you currently live or work in Southern Maine? (Can select more than one),"If an unexpected expense of $400 came up, would you be able to pay it?",Are you part of a community whose voice you feel is not being heard?,"What community are you referring to?  Please name the group, town, or city. ",What is your age group?,How do you describe your race or ethnicity? (Can select more than one),What is your primary relationship with United Way of Southern Maine (UWSM)?,Want to get involved?  ,How would you consider getting involved locally to be part of the solution? (Select all that apply),Which bills or everyday expenses are the hardest for your household to afford?,What is your zip code?,Are you currently employed?,What type of employment?,Can you describe more about how this financial challenge affects you or your family?,What’s getting in the way of being able to cover your bills or living expenses? (Select all that apply),What supports would be most helpful for you?,"Where would you like to be in 5 years? You can share anything that matters to you—like having a steady job, owning a home, goin",How would you like to be part of creating change in your community? (Select all that apply),How long have you lived in Maine?,Would you be willing to share your story with others in the community?
ThreeQ170,3Q,1105917:14:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Child care that is affordable and available;Getting to work, school, or appointments (transportation)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ171,3Q,1105917:15:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare",Cumberland,No,,,,,,,,,,,,,,,,,,
ThreeQ172,3Q,1105917:15:00,"Covering basic expenses (groceries, gas, emergencies)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ173,3Q,1105917:16:00,"Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Caring for aging parents or relatives;Jobs with low pay or no benefits",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ174,3Q,1105917:16:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Mental health challenges (like anxiety, depression);Getting to work, school, or appointments (transportation)",Cumberland & York,No,,,,,,,,,,,,,,,,,,
ThreeQ175,3Q,1105917:17:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Mental health challenges (like anxiety, depression);Caring for aging parents or relatives",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ176,3Q,1105917:19:00,"Paying for housing (rent, utilities, mortgage, taxes)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ177,3Q,1105917:19:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Jobs with low pay or no benefits",York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ178,3Q,1105917:20:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ179,3Q,1105929:16:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Feeling isolated or not connected to community",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ180,3Q,1105929:35:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Getting to work, school, or appointments (transportation);Behavioral health challenges (like substance use or addiction)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ181,3Q,1105930:34:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available;Caring for aging parents or relatives",York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ182,3Q,1105931:38:00,"Finding affordable healthcare;Jobs with low pay or no benefits;Mental health challenges (like anxiety, depression);Paying for housing (rent, utilities, mortgage, taxes);Lack of stable jobs with career growth",York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ183,3Q,1105933:09:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Child care that is affordable and available;Behavioral health challenges (like substance use or addiction)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ184,3Q,1105933:51:00,"Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression);Finding affordable healthcare",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ185,3Q,1105936:32:00,"Paying for housing (rent, utilities, mortgage, taxes);Child care that is affordable and available;Covering basic expenses (groceries, gas, emergencies);Jobs with low pay or no benefits;Getting to work, school, or appointments (transportation)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ186,3Q,1105938:00:00,"Caring for aging parents or relatives;Finding affordable healthcare;Paying for housing (rent, utilities, mortgage, taxes)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ187,3Q,1105997:59:00,"Paying for housing (rent, utilities, mortgage, taxes);Getting enough food;Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available",Cumberland,No,,,,,,,,,,,,,,,,,,
ThreeQ188,3Q,1105998:02:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Finding affordable healthcare;Mental health challenges (like anxiety, depression)",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ189,3Q,1105998:02:00,"Paying for housing (rent, utilities, mortgage, taxes);Jobs with low pay or no benefits",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ190,3Q,1105998:04:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare",Cumberland,No,,,,,,,,,,,,,,,,,,
ThreeQ191,3Q,1105998:05:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Jobs with low pay or no benefits",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ192,3Q,1105998:05:00,"Paying for housing (rent, utilities, mortgage, taxes)",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ193,3Q,1105998:06:00,"Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression);Lack of stable jobs with career growth",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ194,3Q,1105998:06:00,"Paying for housing (rent, utilities, mortgage, taxes);Lack of stable jobs with career growth",Cumberland & York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ195,3Q,1105998:07:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available;Caring for aging parents or relatives",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ196,3Q,1105998:07:00,"Getting to work, school, or appointments (transportation);Jobs with low pay or no benefits;Lack of stable jobs with career growth;Feeling isolated or not connected to community",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ197,3Q,1105998:07:00,"Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Jobs with low pay or no benefits;Getting to work, school, or appointments (transportation);Lack of stable jobs with career growth",Cumberland,No,,,,,,,,,,,,,,,,,,
ThreeQ198,3Q,1105998:08:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Lack of stable jobs with career growth;Feeling isolated or not connected to community",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ199,3Q,1105998:08:00,"Finding affordable healthcare;Mental health challenges (like anxiety, depression);Jobs with low pay or no benefits",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ200,3Q,1105998:09:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Jobs with low pay or no benefits",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ201,3Q,1105998:09:00,"Paying for housing (rent, utilities, mortgage, taxes);Child care that is affordable and available;Jobs with low pay or no benefits",Other Maine County,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ202,3Q,1105998:10:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Caring for aging parents or relatives;Getting to work, school, or appointments (transportation);Lack of stable jobs with career growth",Other Maine County,Yes,,,,,,,,,,,,,,,,,,
ThreeQ203,3Q,1105998:11:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Child care that is affordable and available;Jobs with low pay or no benefits",Cumberland,No,,,,,,,,,,,,,,,,,,
ThreeQ204,3Q,1105998:11:00,"Finding affordable healthcare;Mental health challenges (like anxiety, depression);Lack of stable jobs with career growth",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ205,3Q,1105998:12:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Getting to work, school, or appointments (transportation);Jobs with low pay or no benefits",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ206,3Q,1105998:12:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Lack of stable jobs with career growth;Feeling isolated or not connected to community",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ207,3Q,1105998:13:00,"Paying for housing (rent, utilities, mortgage, taxes);Getting to work, school, or appointments (transportation);Lack of stable jobs with career growth",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ208,3Q,1105998:14:00,"Paying for housing (rent, utilities, mortgage, taxes);Child care that is affordable and available;Feeling isolated or not connected to community",Other Maine County,Yes,,,,,,,,,,,,,,,,,,
ThreeQ209,3Q,1105998:15:00,"Paying for housing (rent, utilities, mortgage, taxes);Behavioral health challenges (like substance use or addiction)",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ210,3Q,1105998:16:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Behavioral health challenges (like substance use or addiction);Feeling isolated or not connected to community",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ211,3Q,1105998:17:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting to work, school, or appointments (transportation)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ212,3Q,1105998:17:00,"Getting enough food;Getting to work, school, or appointments (transportation);Feeling isolated or not connected to community;access to Healthy food",Cumberland,No,,,,,,,,,,,,,,,,,,
ThreeQ213,3Q,1105998:19:00,"Paying for housing (rent, utilities, mortgage, taxes);Behavioral health challenges (like substance use or addiction)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ214,3Q,1105998:19:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Child care that is affordable and available",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ215,3Q,1105998:20:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Behavioral health challenges (like substance use or addiction);Jobs with low pay or no benefits;Feeling isolated or not connected to community",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ216,3Q,1105998:20:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Mental health challenges (like anxiety, depression)",Cumberland,No,,,,,,,,,,,,,,,,,,
ThreeQ217,3Q,1105998:21:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ218,3Q,1105998:21:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Finding affordable healthcare;Lack of stable jobs with career growth",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ219,3Q,1105998:21:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ220,3Q,1105998:21:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Behavioral health challenges (like substance use or addiction)",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ221,3Q,1105998:22:00,"Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ222,3Q,1105998:22:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Caring for aging parents or relatives;Feeling isolated or not connected to community",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ223,3Q,1105998:22:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Jobs with low pay or no benefits",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ224,3Q,1105998:23:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ225,3Q,1105998:24:00,"Paying for housing (rent, utilities, mortgage, taxes);Jobs with low pay or no benefits",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ226,3Q,1105998:24:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting to work, school, or appointments (transportation);Lack of stable jobs with career growth;Feeling isolated or not connected to community",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ227,3Q,1105998:24:00,"Covering basic expenses (groceries, gas, emergencies);Getting enough food;Finding affordable healthcare;Jobs with low pay or no benefits;Lack of stable jobs with career growth",Other Maine County,Yes,,,,,,,,,,,,,,,,,,
ThreeQ228,3Q,1105998:25:00,"Paying for housing (rent, utilities, mortgage, taxes);Getting enough food;Finding affordable healthcare;Feeling isolated or not connected to community",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ229,3Q,1105998:26:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Jobs with low pay or no benefits",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ230,3Q,1105998:26:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Child care that is affordable and available;Getting to work, school, or appointments (transportation)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ231,3Q,1105998:26:00,"Paying for housing (rent, utilities, mortgage, taxes);Child care that is affordable and available;Caring for aging parents or relatives",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ232,3Q,1105998:27:00,"Paying for housing (rent, utilities, mortgage, taxes);Getting enough food;Finding affordable healthcare;Mental health challenges (like anxiety, depression)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ233,3Q,1105998:27:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Feeling isolated or not connected to community",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ234,3Q,1105998:27:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Feeling isolated or not connected to community",Cumberland,No,,,,,,,,,,,,,,,,,,
ThreeQ235,3Q,1106001:41:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Covering basic expenses (groceries, gas, emergencies);Child care that is affordable and available",York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ236,3Q,1106002:05:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Child care that is affordable and available",York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ237,3Q,1106002:28:00,"Lack of stable jobs with career growth;Caring for aging parents or relatives;Child care that is affordable and available;Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare",Other Maine County,No,,,,,,,,,,,,,,,,,,
ThreeQ238,3Q,1106005:45:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Behavioral health challenges (like substance use or addiction);Impact of flooding and other extreme weather",York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ239,3Q,1106007:56:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Child care that is affordable and available;Jobs with low pay or no benefits",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ240,3Q,1106011:41:00,"Paying for housing (rent, utilities, mortgage, taxes)",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ241,3Q,1106011:50:00,"Paying for housing (rent, utilities, mortgage, taxes);Getting to work, school, or appointments (transportation)",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ242,3Q,1106011:50:00,"Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Caring for aging parents or relatives",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ243,3Q,1106011:51:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Getting to work, school, or appointments (transportation)",Cumberland,No,,,,,,,,,,,,,,,,,,
ThreeQ244,3Q,1106011:52:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Finding affordable healthcare;Caring for aging parents or relatives",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ245,3Q,1106011:53:00,"Covering basic expenses (groceries, gas, emergencies)",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ246,3Q,1106011:53:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Finding affordable healthcare;Jobs with low pay or no benefits",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ247,3Q,1106011:54:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Getting to work, school, or appointments (transportation)",Cumberland,No,,,,,,,,,,,,,,,,,,
ThreeQ248,3Q,1106012:27:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Jobs with low pay or no benefits",Cumberland,No,,,,,,,,,,,,,,,,,,
ThreeQ249,3Q,1106012:28:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Caring for aging parents or relatives;Jobs with low pay or no benefits",York,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ250,3Q,1106012:29:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Feeling isolated or not connected to community",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ251,3Q,1106012:29:00,"Paying for housing (rent, utilities, mortgage, taxes);Behavioral health challenges (like substance use or addiction);Child care that is affordable and available;Feeling isolated or not connected to community",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ252,3Q,1106012:30:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Child care that is affordable and available;Jobs with low pay or no benefits",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ253,3Q,1106012:30:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression)",Cumberland,No,,,,,,,,,,,,,,,,,,
ThreeQ254,3Q,1106012:31:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Getting to work, school, or appointments (transportation);Jobs with low pay or no benefits",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ255,3Q,1106012:36:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies)",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ256,3Q,1106012:42:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ257,3Q,1106012:44:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food",Cumberland,No,,,,,,,,,,,,,,,,,,
ThreeQ258,3Q,1106012:46:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Getting to work, school, or appointments (transportation);Lack of stable jobs with career growth",Cumberland & York,No,,,,,,,,,,,,,,,,,,
ThreeQ259,3Q,1106012:49:00,"Paying for housing (rent, utilities, mortgage, taxes)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ260,3Q,1106012:51:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available;Jobs with low pay or no benefits",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ261,3Q,1106012:52:00,Caring for aging parents or relatives,Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ262,3Q,1106012:52:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Jobs with low pay or no benefits;Lack of stable jobs with career growth",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ263,3Q,1106012:53:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Jobs with low pay or no benefits",Cumberland & York,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ264,3Q,1106012:53:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ265,3Q,1106012:54:00,"Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Lack of stable jobs with career growth",Cumberland,No,,,,,,,,,,,,,,,,,,
ThreeQ266,3Q,1106012:55:00,"Mental health challenges (like anxiety, depression)",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ267,3Q,1106012:55:00,Finding affordable healthcare;Child care that is affordable and available;Lack of stable jobs with career growth,Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ268,3Q,1106012:58:00,Finding affordable healthcare;Caring for aging parents or relatives;Jobs with low pay or no benefits;Feeling isolated or not connected to community,Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ269,3Q,1106012:58:00,Finding affordable healthcare,Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ270,3Q,1106013:00:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Child care that is affordable and available;Caring for aging parents or relatives;Jobs with low pay or no benefits",York,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ271,3Q,1106013:00:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction)",Cumberland & York,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ272,3Q,1106013:02:00,"Paying for housing (rent, utilities, mortgage, taxes)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ273,3Q,1106013:02:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Child care that is affordable and available;Caring for aging parents or relatives;Jobs with low pay or no benefits",Cumberland,No,,,,,,,,,,,,,,,,,,
ThreeQ274,3Q,1106013:03:00,Child care that is affordable and available;Lack of stable jobs with career growth;Access to college or training after high school,Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ275,3Q,1106013:03:00,"Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Caring for aging parents or relatives;Jobs with low pay or no benefits",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ276,3Q,1106073:15:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ277,3Q,1106075:55:00,"Paying for housing (rent, utilities, mortgage, taxes);Behavioral health challenges (like substance use or addiction);Child care that is affordable and available;Getting to work, school, or appointments (transportation);Access to college or training after high school",York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ278,3Q,1106075:56:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Child care that is affordable and available;Feeling isolated or not connected to community",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ279,3Q,1106075:56:00,"Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available;Getting to work, school, or appointments (transportation);Lack of stable jobs with career growth",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ280,3Q,1106075:57:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Child care that is affordable and available",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ281,3Q,1106075:57:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Feeling isolated or not connected to community;Child care that is affordable and available;Caring for aging parents or relatives",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ282,3Q,1106075:58:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Child care that is affordable and available;Jobs with low pay or no benefits",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ283,3Q,1106076:36:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available;Caring for aging parents or relatives",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ284,3Q,1106076:37:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ285,3Q,1106076:38:00,"Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Child care that is affordable and available",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ286,3Q,1106076:38:00,"Mental health challenges (like anxiety, depression);Caring for aging parents or relatives",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ287,3Q,1106076:38:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Child care that is affordable and available",Cumberland & York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ288,3Q,1106076:39:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Child care that is affordable and available;Jobs with low pay or no benefits;Access to college or training after high school",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ289,3Q,1106076:39:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Finding affordable healthcare;Mental health challenges (like anxiety, depression)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
